FoldNames,JpgNames,Ripeness
1,cropped_0.0_105_93_55_51.jpg,0.9672544080604534
1,cropped_0.0_118_0_36_17.jpg,1.0
1,cropped_0.0_119_156_35_26.jpg,1.0
1,cropped_0.0_125_74_42_32.jpg,1.0
2,cropped_0.0_147_60_11_15.jpg,0.0
2,cropped_0.0_172_60_45_34.jpg,1.0
2,cropped_0.0_187_19_54_54.jpg,0.8674698795180723
2,cropped_0.0_37_139_17_15.jpg,1.0
2,cropped_0.0_54_51_86_81.jpg,1.0
3,cropped_0.0_0_62_14_15.jpg,0.0
3,cropped_0.0_101_15_23_21.jpg,0.9420289855072463
3,cropped_0.0_105_66_51_54.jpg,0.9565217391304348
3,cropped_0.0_141_159_17_19.jpg,1.0
3,cropped_0.0_142_12_16_17.jpg,1.0
3,cropped_0.0_159_59_49_56.jpg,0.875
3,cropped_0.0_176_116_52_51.jpg,0.28888888888888886
3,cropped_0.0_201_42_19_18.jpg,-0.2
3,cropped_0.0_222_167_25_17.jpg,-0.3333333333333333
3,cropped_0.0_23_1_29_24.jpg,0.9393939393939394
3,cropped_0.0_37_149_17_16.jpg,1.0
3,cropped_0.0_45_173_14_11.jpg,1.0
3,cropped_0.0_69_115_12_13.jpg,1.0
3,cropped_0.0_90_50_18_22.jpg,1.0
4,cropped_0.0_105_123_35_29.jpg,0.9393939393939394
4,cropped_0.0_116_25_27_27.jpg,0.9661016949152542
4,cropped_0.0_139_86_34_32.jpg,1.0
4,cropped_0.0_159_152_31_29.jpg,1.0
4,cropped_0.0_165_104_24_32.jpg,1.0
4,cropped_0.0_185_129_19_15.jpg,1.0
4,cropped_0.0_192_102_24_22.jpg,1.0
4,cropped_0.0_211_114_24_22.jpg,1.0
4,cropped_0.0_215_88_25_22.jpg,-1.0
4,cropped_0.0_45_86_26_31.jpg,0.9
4,cropped_0.0_58_41_28_31.jpg,0.9925925925925926
4,cropped_0.0_64_102_23_29.jpg,0.8389261744966443
4,cropped_0.0_71_96_28_27.jpg,0.8378378378378378
4,cropped_0.0_81_92_21_26.jpg,1.0
4,cropped_0.0_98_99_31_29.jpg,1.0
5,cropped_0.0_127_60_38_32.jpg,0.9027777777777778
5,cropped_0.0_135_16_35_36.jpg,1.0
5,cropped_0.0_25_0_42_17.jpg,1.0
5,cropped_0.0_42_97_27_29.jpg,1.0
5,cropped_0.0_4_97_35_37.jpg,1.0
5,cropped_0.0_63_127_26_24.jpg,1.0
5,cropped_0.0_66_70_32_36.jpg,1.0
5,cropped_0.0_88_152_31_29.jpg,1.0
5,cropped_0.0_89_35_41_31.jpg,1.0
5,cropped_0.0_97_72_38_37.jpg,0.9918032786885246
6,cropped_0.0_0_135_18_29.jpg,1.0
6,cropped_0.0_129_64_41_42.jpg,1.0
6,cropped_0.0_155_108_31_37.jpg,0.0
6,cropped_0.0_221_106_27_27.jpg,0.0
6,cropped_0.0_229_133_26_31.jpg,1.0
6,cropped_0.0_259_148_10_34.jpg,1.0
6,cropped_0.0_74_117_35_39.jpg,0.0
6,cropped_0.0_96_68_34_39.jpg,1.0
7,cropped_0.0_0_4_16_19.jpg,1.0
7,cropped_0.0_114_36_17_16.jpg,1.0
7,cropped_0.0_122_72_21_21.jpg,0.4794520547945205
7,cropped_0.0_140_45_24_21.jpg,0.9649122807017544
7,cropped_0.0_141_118_17_14.jpg,0.7560975609756098
7,cropped_0.0_145_147_14_16.jpg,0.9672131147540983
7,cropped_0.0_145_99_17_19.jpg,0.6
7,cropped_0.0_159_141_20_18.jpg,1.0
7,cropped_0.0_165_59_24_24.jpg,0.8947368421052632
7,cropped_0.0_17_72_18_15.jpg,1.0
7,cropped_0.0_197_54_21_19.jpg,-0.2222222222222222
7,cropped_0.0_20_24_17_17.jpg,0.0
7,cropped_0.0_232_86_24_24.jpg,0.84
7,cropped_0.0_248_14_21_26.jpg,1.0
7,cropped_0.0_248_95_20_22.jpg,0.7916666666666666
7,cropped_0.0_28_121_14_14.jpg,1.0
7,cropped_0.0_2_136_12_12.jpg,1.0
7,cropped_0.0_39_171_11_12.jpg,1.0
7,cropped_0.0_51_140_16_13.jpg,1.0
7,cropped_0.0_51_153_16_11.jpg,1.0
7,cropped_0.0_52_116_20_17.jpg,1.0
7,cropped_0.0_70_148_19_17.jpg,1.0
7,cropped_0.0_72_138_20_19.jpg,1.0
7,cropped_0.0_76_1_28_22.jpg,1.0
7,cropped_0.0_79_131_19_18.jpg,1.0
7,cropped_0.0_85_84_16_14.jpg,1.0
7,cropped_0.0_91_29_23_21.jpg,1.0
7,cropped_0.0_98_120_15_12.jpg,1.0
7,cropped_0.0_99_52_20_18.jpg,0.8823529411764706
8,cropped_0.0_110_32_82_61.jpg,1.0
8,cropped_0.0_81_69_102_93.jpg,0.9898862199747156
9,cropped_0.0_121_42_38_37.jpg,0.2903225806451613
9,cropped_0.0_134_0_31_17.jpg,0.8333333333333334
9,cropped_0.0_137_82_31_26.jpg,0.9574468085106383
9,cropped_0.0_189_114_31_31.jpg,-0.9152542372881356
9,cropped_0.0_18_86_25_29.jpg,-1.0
9,cropped_0.0_213_88_35_39.jpg,1.0
9,cropped_0.0_221_53_41_39.jpg,1.0
9,cropped_0.0_250_30_20_24.jpg,1.0
9,cropped_0.0_35_146_35_34.jpg,1.0
9,cropped_0.0_56_82_32_27.jpg,-1.0
9,cropped_0.0_63_23_31_26.jpg,0.0
9,cropped_0.0_65_130_41_44.jpg,-1.0
10,cropped_0.0_110_9_12_14.jpg,1.0
10,cropped_0.0_130_18_12_15.jpg,1.0
10,cropped_0.0_130_26_12_10.jpg,1.0
10,cropped_0.0_133_15_11_11.jpg,1.0
10,cropped_0.0_141_14_9_8.jpg,1.0
10,cropped_0.0_143_83_12_12.jpg,1.0
